#NSGA2
popsize 100
maxGen 5
numVar 5
numObj 2
numCons 14
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 5
currentGen	1
evaluateCount	100
totalTime	9.60981
firstFrontCount	10
frontCount	31
avgEvalTime	0.0955415
#end
Var1	Var2	Var3	Var4	Var5	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	Cons11	Cons12	Cons13	Cons14	
9656	8998	1605	13	20	0.010159	83.1887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9653	8976	1602	12	19	0.0101603	85.7602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	8991	1602	16	19	0.0101614	81.0505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9658	8988	1603	15	23	0.0101549	84.8512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9677	8994	1577	13	21	0.0101588	85.3513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9649	8978	1626	13	18	0.0101606	86.2941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9675	9004	1586	17	19	0.0101615	84.1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9644	9006	1580	12	22	0.010159	78.6935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9676	9029	1606	13	23	0.0101552	81.8412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9655	8997	1618	13	23	0.0101543	83.9493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9659	9005	1605	11	20	0.0101591	82.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9674	9029	1605	12	21	0.0101578	81.4669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9625	9003	1571	15	18	0.0101672	75.6932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9673	8996	1598	15	19	0.0101604	85.7348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9677	8987	1584	13	21	0.010158	86.7983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9674	9003	1616	12	21	0.0101562	85.9636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	9024	1584	12	20	0.0101629	75.2269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9626	8994	1578	15	23	0.0101584	77.5315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9000	1598	12	24	0.010155	81.0698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9636	9004	1608	16	24	0.010155	79.3265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9649	8998	1582	14	21	0.0101596	80.7389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9654	9025	1625	15	23	0.0101549	80.0263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	8992	1596	14	23	0.0101564	80.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	8977	1616	13	21	0.0101559	88.2189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9014	1597	15	21	0.0101592	78.6514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9627	9022	1578	11	20	0.0101642	73.6467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9678	8986	1595	15	22	0.0101558	87.7922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9673	9028	1596	15	22	0.0101572	80.9335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9677	9012	1620	11	20	0.0101575	85.3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9660	9027	1580	12	21	0.0101603	78.1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	9016	1585	16	19	0.0101632	78.1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	8995	1617	12	22	0.0101557	83.0737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9668	8976	1611	15	22	0.0101548	88.6879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9669	9026	1605	11	24	0.0101544	81.1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9668	9024	1594	13	19	0.0101618	80.6189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	8978	1615	16	22	0.0101557	83.7243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9635	9025	1584	17	22	0.0101603	74.7719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9623	9010	1595	15	23	0.0101581	75.6871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9674	9026	1579	12	22	0.0101584	80.3901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9680	8974	1629	16	19	0.0101575	92.0477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9622	8979	1616	15	18	0.0101625	81.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9643	9002	1600	11	18	0.0101635	80.2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	8984	1606	13	23	0.0101544	86.2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9667	9021	1598	17	20	0.0101598	81.1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9642	9008	1602	11	21	0.0101587	79.343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9633	9005	1590	15	20	0.0101615	77.6979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9675	9020	1592	16	24	0.0101549	82.1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	9003	1618	12	23	0.0101541	84.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9659	9000	1571	16	21	0.0101602	81.3461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9675	8998	1576	13	22	0.0101577	84.4044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9013	1587	14	22	0.0101586	78.2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9628	8973	1616	12	23	0.0101548	83.0955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	



#Generation 2 / 5
currentGen	2
evaluateCount	200
totalTime	18.8158
firstFrontCount	14
frontCount	7
avgEvalTime	0.089602
#end
Var1	Var2	Var3	Var4	Var5	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	Cons11	Cons12	Cons13	Cons14	
9624	9000	1618	12	24	0.0101548	78.5802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9620	8997	1589	13	22	0.0101592	76.7842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9638	9024	1602	11	20	0.0101613	76.3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9643	9017	1599	17	22	0.010158	78.0109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9626	8994	1578	15	23	0.0101584	77.5315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	9003	1618	12	23	0.0101541	84.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	9003	1618	13	23	0.0101541	84.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9649	9024	1602	11	23	0.0101566	78.0927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9633	9021	1609	13	20	0.0101609	76.4009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	8996	1610	14	24	0.0101534	85.0465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9620	8997	1585	13	21	0.0101608	76.5626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9625	9005	1618	12	21	0.0101584	77.997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9640	9005	1618	16	24	0.0101542	80.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9635	9011	1608	14	24	0.0101553	78.1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9655	8987	1622	15	23	0.0101537	85.6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9630	9007	1612	14	23	0.0101562	78.1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9628	9003	1602	12	20	0.0101608	77.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9640	9022	1603	16	20	0.0101609	77.0276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9636	9004	1608	16	24	0.010155	79.3265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9654	9025	1625	15	23	0.0101549	80.0263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9669	9026	1605	11	24	0.0101544	81.1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9650	8993	1604	12	24	0.0101543	82.9183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9013	1582	14	22	0.010159	77.9498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9674	9021	1601	12	24	0.0101543	82.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9630	9005	1618	16	22	0.0101568	78.7903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9646	9011	1586	12	23	0.0101574	78.6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	8978	1614	12	23	0.0101543	85.4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9655	8997	1618	13	23	0.0101543	83.9493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9000	1598	12	24	0.010155	81.0698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9633	9005	1590	15	20	0.0101615	77.6979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9675	9020	1592	16	24	0.0101549	82.1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9013	1587	14	22	0.0101586	78.2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9628	8973	1616	12	23	0.0101548	83.0955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9011	1586	14	23	0.0101574	78.7769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9626	8991	1578	15	22	0.0101595	77.9635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9646	9011	1586	12	23	0.0101574	78.6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	9003	1596	12	23	0.0101568	78.9514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9624	8995	1587	16	20	0.0101618	77.5838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9646	9009	1601	13	23	0.0101562	79.7677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9675	9020	1592	16	24	0.0101549	82.1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9635	9008	1590	14	19	0.0101632	77.5727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9000	1598	13	24	0.010155	81.0698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9675	8971	1605	12	23	0.0101538	90.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9000	1593	12	24	0.0101554	80.7793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9010	1595	13	23	0.0101568	79.1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9656	8984	1615	12	23	0.0101541	85.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	8978	1614	11	23	0.0101543	85.4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9627	8995	1587	16	20	0.0101616	78.0492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9636	9008	1590	14	19	0.0101631	77.7283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9010	1590	13	22	0.0101583	78.8387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9650	9000	1592	17	23	0.0101564	81.1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9636	9003	1621	15	21	0.0101575	80.2091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9658	8988	1603	15	23	0.0101549	84.8512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9644	9006	1580	12	22	0.010159	78.6935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9676	9029	1606	13	23	0.0101552	81.8412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	8992	1596	14	23	0.0101564	80.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9014	1597	15	21	0.0101592	78.6514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9660	9027	1580	12	21	0.0101603	78.1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	8984	1606	13	23	0.0101544	86.2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9641	9001	1603	16	22	0.0101572	80.2702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	8984	1606	13	23	0.0101544	86.2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9627	8999	1601	15	21	0.0101592	78.2528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9015	1598	12	22	0.0101578	78.8748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	8984	1606	14	23	0.0101544	86.2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9673	9028	1606	13	23	0.0101553	81.5145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	8984	1606	13	23	0.0101544	86.2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9639	8991	1586	13	23	0.0101571	80.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9676	9010	1598	12	23	0.0101552	84.1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9632	8980	1587	14	23	0.0101569	80.9981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9673	9028	1596	15	22	0.0101572	80.9335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	9016	1585	16	19	0.0101632	78.1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	8995	1617	12	22	0.0101557	83.0737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9668	8976	1611	15	22	0.0101548	88.6879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	8995	1613	11	22	0.0101559	82.8387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9661	8988	1598	15	23	0.0101551	85.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9631	9006	1621	15	21	0.0101579	78.9676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9673	8974	1591	17	23	0.0101549	88.4999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9648	9009	1580	12	22	0.0101589	78.8789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9631	8994	1578	15	22	0.0101593	78.3024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9670	8970	1610	12	22	0.0101547	89.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9621	8993	1614	12	21	0.0101584	78.9186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9642	8995	1608	15	22	0.0101565	81.5981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9676	9019	1598	12	22	0.0101566	82.8406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9631	8990	1616	15	21	0.0101576	81.0583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	9028	1608	13	21	0.010158	80.2069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9673	8971	1587	16	23	0.0101551	88.6787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9675	8970	1605	12	22	0.0101549	90.2944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	8978	1615	16	22	0.0101557	83.7243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9620	8970	1623	13	21	0.010157	82.6791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9008	1587	15	22	0.0101584	78.9586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	9027	1584	12	21	0.0101599	78.6712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9000	1598	12	22	0.0101572	81.0698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9636	9004	1590	17	19	0.0101629	78.3102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9633	8997	1594	13	22	0.0101581	79.0885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	8984	1610	13	22	0.0101553	86.4976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9634	9010	1618	15	19	0.0101611	78.683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9678	8986	1595	15	22	0.0101558	87.7922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9644	9006	1585	12	22	0.0101586	78.9792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9656	8995	1609	13	22	0.0101559	83.868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9654	8988	1594	11	22	0.0101568	83.6801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	



#Generation 3 / 5
currentGen	3
evaluateCount	300
totalTime	29.0435
firstFrontCount	16
frontCount	5
avgEvalTime	0.101416
#end
Var1	Var2	Var3	Var4	Var5	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	Cons11	Cons12	Cons13	Cons14	
9624	9000	1618	12	24	0.0101548	78.5802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9620	8997	1589	13	22	0.0101592	76.7842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9626	8994	1578	15	23	0.0101584	77.5315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9649	9024	1602	11	23	0.0101566	78.0927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9633	9021	1609	13	20	0.0101609	76.4009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	8996	1610	14	24	0.0101534	85.0465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9620	8997	1585	13	21	0.0101608	76.5626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9640	9005	1618	16	24	0.0101542	80.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9635	9011	1608	14	24	0.0101553	78.1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9629	9007	1604	14	23	0.0101568	77.5597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9635	9022	1605	16	20	0.0101611	76.3509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9620	8994	1588	13	22	0.0101591	77.1641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9646	9021	1587	15	22	0.010159	77.2252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9674	8970	1618	13	23	0.0101529	90.9723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9651	8995	1610	12	24	0.0101539	83.1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9647	9006	1617	12	24	0.0101539	81.2845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9638	9024	1602	11	20	0.0101613	76.3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	9003	1618	12	23	0.0101541	84.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9664	9003	1618	13	23	0.0101541	84.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9655	8987	1622	15	23	0.0101537	85.6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9630	9007	1612	14	23	0.0101562	78.1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9640	9022	1603	16	20	0.0101609	77.0276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9636	9004	1608	16	24	0.010155	79.3265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9654	9025	1625	15	23	0.0101549	80.0263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
