      1.8    1.83   1.86   1.89   1.92	 1.95	1.98   2.01   2.04   2.07
      2.1    2.14   2.18   2.22   2.26	 2.30	2.34   2.38   2.42   2.46
     2.5    2.545  2.59   2.635  2.68	2.725  2.77   2.815  2.86   2.905
     2.95   3.0    3.05   3.1	 3.15	3.2    3.25   3.3    3.35   3.4
     3.45   3.51   3.57   3.63	 3.69	3.75   3.81   3.87   3.93   3.99
     4.05   4.125  4.2	  4.275  4.35	4.425  4.5    4.575  4.65   4.725
     4.8    4.9    4.95   5.05	 5.1	5.2    5.3    5.4    5.5    5.6
     5.7    5.82   5.95   6.07	 6.15	6.3    6.42   6.55   6.65   6.8
     6.9    7.03   7.2	  7.31	 7.48	7.6    7.75   7.9    8.08   8.25
     8.45   8.6    8.8	  9.0	 9.2	9.4    9.6    9.92   10.15   10.45
     10.8   11.12  11.45  11.75  12.2	12.6   13.0   13.5   13.93  14.5
     14.9   15.3   15.95  16.45  17.0	17.5   18.35  19.2   20.1   21.1
     22.7   24.5   25.6   27.1	 28.8	30.5   32.0   34.0   36.6   37.5
     40.0   42.5   45.0   47.5	 50.0	52.5   55.8   59.5   62.3   66.0
     70.5   75.3   79.5   84.0	 88.5	93.2   98.0   103.0  108.0  114.0
     119.0  124.0  130.0  135.0  141.0	148.0  156.0  162.0  170.0  178.0
     188.0  197.0  207.0  215.0  226.0	235.0  245.0  256.0  265.0  275.0
     290.0  302.0  315.0  328.0  342.0	361.0  380.0  400.0  420.0  440.0
     460.0  480.0  500.0  520.0  540.0	560.0  580.0  600.0  620.0  640.0
     660.0  680.0  700.0  720.0  740.0	760.0  780.0  800.0  820.0  840.0
